endpoint_id,source_id,source_name,source_class,institution_level,label,url,final_url,access_status,http_status,content_type,expected_format,detected_format,format_matches_expected,robots_status,fetched_at,elapsed_ms,bytes_read,truncated,item_count,latest_published_at,discovered_feeds,error
actiris_news,actiris,Actiris,public_body,région,Actualités,https://www.actiris.brussels/fr/citoyens/actualites/,https://www.actiris.brussels/fr/citoyens/actualites/,ok,200,text/html,html,html,True,allowed,2026-09-05T04:22:46.936417Z,2375,67568,False,,,,
adg_home,adg,Arbeitsamt der Deutschsprachigen Gemeinschaft,public_body,communauté,Portail de l'emploi,https://adg.be/,https://adg.be/,ok,200,text/html,html,html,True,allowed,2026-09-05T04:23:12.895509Z,1219,93570,False,,,,
afmps_news,afmps,Agence fédérale des médicaments et des produits de santé,public_body,fédéral,Actualités,https://www.afmps.be/fr/news,https://www.afmps.be/fr/actualites,ok,200,text/html,html,html,True,allowed,2026-09-05T04:22:36.515603Z,2049,47844,False,,,,
afsca_news,afsca,Agence fédérale pour la sécurité de la chaîne alimentaire,public_body,fédéral,Actualités,https://favv-afsca.be/fr/news/overview,https://favv-afsca.be/fr/news/overview,ok,200,text/html,html,html,True,allowed,2026-09-05T04:22:37.307990Z,3668,57364,False,,,,
amnesty_be_rss,amnesty_be,Amnesty International Belgique francophone,civil_society,communauté,Actualités,https://www.amnesty.be/infos/actualites/,https://www.amnesty.be/infos/actualites/,ok,200,text/html,html,html,True,allowed,2026-09-05T04:24:03.544596Z,1640,168690,False,,,https://www.amnesty.be/infos/actualites/spip.php?page=backend&id_rubrique=2 | https://www.amnesty.be/infos/actualites/spip.php?page=backend,
anders_party_news,anders_party,Anders.,political_party,national,Nieuws,https://www.anders.be/blog,https://www.anders.be/blog,ok,200,text/html,html,html,True,allowed,2026-09-05T04:23:33.028365Z,1659,41086,False,,,,
ares_news,ares,Académie de recherche et d'enseignement supérieur,public_body,communauté,Actualités,https://www.ares-ac.be/fr/actualit%C3%A9s,https://www.ares-ac.be/fr/actualit%C3%A9s,ok,200,text/html,html,html,True,allowed,2026-09-05T04:23:08.463361Z,4432,85648,False,,,,
aviq_news,aviq,Agence pour une Vie de Qualité,public_body,région,Actualités,https://www.aviq.be/fr/actualites,,network_error,,,html,unknown,,unknown,2026-09-05T04:22:40.976210Z,1328,0,False,,,,Connexion impossible: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)
avocats_be_press,avocats_be,AVOCATS.BE,professional_body,communauté,Communiqués de presse,https://www.avocats.be/fr/actualites/136,https://www.avocats.be/fr/actualites/136,ok,200,text/html,html,html,True,allowed,2026-09-05T04:24:23.697651Z,1983,63945,False,,,,
awac_news,awac,Agence wallonne de l'Air et du Climat,public_body,région,Actualités,https://www.awac.be/home/actualites.html,https://www.awac.be/home/actualites.html,ok,200,text/html,html,html,True,missing,2026-09-05T04:22:43.614798Z,3847,67724,False,,,,
bbl_news,bond_beter_leefmilieu,Bond Beter Leefmilieu,civil_society,région,Nieuws,https://www.bondbeterleefmilieu.be/,,http_error,403,,html,unknown,,allowed,2026-09-05T04:24:05.184915Z,59,0,False,,,,HTTP 403: Forbidden
belspo_news,belspo,Politique scientifique fédérale BELSPO,public_body,fédéral,Actualités,https://www.belspo.be/belspo/organisation/actua.asp?l=fr,https://www.belspo.be/belspo/organisation/actua.asp?l=fr,ok,200,text/html,html,html,True,allowed,2026-09-05T04:22:13.771523Z,2475,413304,False,,,,
bipt_consumers,bipt,Institut belge des services postaux et des télécommunications,regulator,fédéral,Informations consommateurs,https://www.bipt.be/consommateurs,https://www.bipt.be/consommateurs,ok,200,text/html,html,html,True,allowed,2026-09-05T04:22:28.636262Z,2213,117113,False,,,,
bosa_news,fps_bosa,SPF Stratégie et Appui,public_body,fédéral,Actualités,https://bosa.belgium.be/fr/news,https://bosa.belgium.be/fr/news,ok,200,text/html,html,html,True,allowed,2026-09-05T04:22:08.362545Z,1705,87416,False,,2026-09-01T13:00:00Z,,
