target_id,label,scope,enforced,required_count,present_count,with_enabled_endpoint_count,complete,missing_source_ids,without_enabled_endpoint_source_ids,reference_url,notes
federal_departments,Socle exécutif fédéral,fédéral,True,15,15,15,True,,,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/autorites_federales/services_publics_federaux_et_de_programmation,Premier ministre départements fédéraux Défense et services publics de programmation
federal_parliament,Parlement fédéral,fédéral,True,2,2,2,True,,,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/autorites_federales/parlement_federal,Deux chambres du Parlement fédéral
federated_executives,Exécutifs des entités fédérées,interfédéral,True,5,5,5,True,,,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/la_belgique_federale,Gouvernements des trois régions et des trois communautés avec fusion flamande
federated_parliaments,Parlements des entités fédérées,interfédéral,True,5,5,5,True,,,https://www.belgium.be/fr/la_belgique/pouvoirs_publics/la_belgique_federale,Assemblées des trois régions et des trois communautés avec fusion flamande
justice_apex_and_governance,Hautes juridictions et gouvernance judiciaire,fédéral,True,4,4,4,True,,,https://www.belgium.be/fr/justice/organisation,Institutions transversales sélectionnées pour leur portée sociétale
public_oversight_rights,Contrôle public et droits,interfédéral,True,8,8,8,True,,,https://www.belgium.be/fr/la_belgique/pouvoirs_publics,Contre-pouvoirs publics indépendants avec production régulière dont prisons police et droits humains
economic_statistics_regulators,Économie statistiques et régulateurs,fédéral,True,8,8,8,True,,,https://www.belgium.be/fr/economie,Producteurs nationaux à portée macroéconomique sectorielle ou consommateur
social_protection,Sécurité sociale et marché du travail,fédéral,True,6,6,6,True,,,https://www.socialsecurity.be/citizen/fr/,Institutions nationales couvrant emploi soins indépendants et pensions
health_expertise_safety,Santé expertise et sécurité,fédéral,True,5,5,5,True,,,https://www.health.belgium.be/fr,Autorités et instituts fédéraux produisant alertes données et expertise
wallonia_functional_bodies,Producteurs fonctionnels wallons,région,True,10,10,10,True,,,https://www.wallonie.be/fr/acteurs-et-institutions/wallonie/autres-acteurs-publics-de-la-wallonie,Sélection à fort signal couvrant dix fonctions éditoriales et non inventaire exhaustif des organismes
brussels_functional_bodies,Producteurs fonctionnels bruxellois,région,True,10,10,10,True,,,https://be.brussels/fr/propos-de-la-region/structure-et-organisation/administrations-et-institutions-de-la-region,Sélection à fort signal couvrant dix fonctions éditoriales et non inventaire exhaustif des organismes
flanders_functional_bodies,Producteurs fonctionnels flamands,région|communauté,True,10,10,10,True,,,https://www.vlaanderen.be/uw-overheid/werking-en-structuur-van-de-vlaamse-overheid/structuur-van-de-vlaamse-overheid,Sélection à fort signal traversant les domaines politiques flamands et non inventaire exhaustif des organismes
fwb_functional_bodies,Producteurs fonctionnels de la Fédération Wallonie-Bruxelles,communauté,True,5,5,5,True,,,https://www.cfwb.be/,Sélection de cinq producteurs communautaires à fort signal et non inventaire exhaustif des organismes administratifs publics
german_functional_bodies,Producteurs fonctionnels de la Communauté germanophone,communauté,True,4,4,4,True,,,https://www.ostbelgienlive.be/desktopdefault.aspx/tabid-506/,Administration emploi concertation et statistiques comme premier socle fonctionnel germanophone
federal_party_producers,Producteurs politiques nationaux,national,True,11,11,11,True,,,https://www.lachambre.be/,Sélection opérationnelle des partis représentés au niveau fédéral avec DéFI suivi en complément régional
flemish_party_producers,Producteurs politiques du Parlement flamand,région,True,8,8,8,True,,,https://www.vlaamsparlement.be/nl/vlaamse-volksvertegenwoordigers-in-het-Vlaams-Parlement,Partis proposés par le filtre officiel des représentants du Parlement flamand
german_party_producers,Producteurs politiques germanophones,communauté,True,6,6,6,True,,,https://www.pdg.be/,Partis représentés au Parlement de la Communauté germanophone
national_social_partners,Partenaires sociaux nationaux,national,True,6,6,6,True,,,https://cnt-nar.be/fr/liens,Organisations de travailleurs et d'employeurs reliées par le Conseil national du Travail avec Voka suivi en complément régional
mutuality_unions_and_caami,Unions nationales de mutualités et CAAMI,national,True,6,6,6,True,,,https://www.inami.fgov.be/fr/professionnels/autres-professionnels/mutualites/contactez-les-mutualites,Cinq unions nationales et caisse publique auxiliaire recensées par l'INAMI
poverty_networks,Réseaux régionaux de lutte contre la pauvreté,région,True,2,2,2,True,,,https://luttepauvrete.be/service/reseaux-belges-de-lutte-contre-la-pauvrete/,Deux réseaux régionaux de terrain reliés par le Service de lutte contre la pauvreté
justice_operations_and_professions,Fonctionnement judiciaire et professions,national,True,4,4,4,True,,,https://www.belgium.be/fr/justice/organisation,Sélection opérationnelle du ministère public du siège et des deux ordres communautaires d'avocats
